Source,Target,Type,Id,Label,Weight
60,62,Undirected,1279,,4
60,21,Undirected,1282,,3
60,65,Undirected,1283,,3
60,22,Undirected,1284,,4
60,66,Undirected,1285,,3
60,67,Undirected,1286,,10
60,69,Undirected,1288,,5
60,71,Undirected,1290,,3
60,74,Undirected,1293,,8
61,65,Undirected,1302,,3
61,67,Undirected,1305,,4
61,70,Undirected,1308,,3
61,73,Undirected,1311,,3
61,74,Undirected,1312,,3
61,75,Undirected,1313,,4
61,76,Undirected,1314,,3
62,63,Undirected,1317,,4
62,64,Undirected,1318,,3
62,21,Undirected,1319,,4
62,22,Undirected,1321,,7
62,67,Undirected,1323,,16
62,69,Undirected,1325,,4
62,71,Undirected,1327,,3
62,74,Undirected,1330,,4
62,75,Undirected,1331,,4
62,78,Undirected,1334,,3
63,66,Undirected,1339,,5
63,67,Undirected,1340,,8
63,69,Undirected,1342,,5
63,74,Undirected,1347,,4
63,75,Undirected,1348,,4
64,67,Undirected,1356,,3
21,65,Undirected,1368,,3
21,67,Undirected,1370,,9
21,71,Undirected,1374,,3
21,73,Undirected,1376,,3
21,74,Undirected,1377,,5
21,77,Undirected,1380,,3
65,22,Undirected,1382,,3
65,67,Undirected,1384,,6
65,72,Undirected,1389,,3
65,73,Undirected,1390,,4
65,74,Undirected,1391,,4
22,66,Undirected,1396,,6
22,67,Undirected,1397,,18
22,69,Undirected,1399,,6
22,70,Undirected,1400,,4
22,74,Undirected,1404,,4
22,75,Undirected,1405,,5
22,78,Undirected,1408,,3
66,67,Undirected,1409,,17
66,68,Undirected,1410,,4
66,69,Undirected,1411,,6
66,71,Undirected,1413,,3
66,72,Undirected,1414,,3
66,74,Undirected,1416,,9
66,75,Undirected,1417,,4
66,77,Undirected,1419,,3
67,68,Undirected,1421,,6
67,69,Undirected,1422,,12
67,70,Undirected,1423,,5
67,71,Undirected,1424,,5
67,72,Undirected,1425,,3
67,73,Undirected,1426,,4
67,74,Undirected,1427,,19
67,75,Undirected,1428,,8
67,77,Undirected,1430,,6
67,78,Undirected,1431,,5
68,69,Undirected,1432,,3
68,72,Undirected,1435,,4
68,74,Undirected,1437,,4
68,76,Undirected,1439,,3
69,70,Undirected,1442,,3
69,73,Undirected,1445,,3
69,74,Undirected,1446,,5
69,77,Undirected,1449,,3
70,73,Undirected,1453,,3
70,74,Undirected,1454,,5
71,74,Undirected,1461,,4
72,74,Undirected,1467,,4
72,77,Undirected,1470,,3
73,74,Undirected,1472,,5
74,75,Undirected,1477,,4
74,77,Undirected,1479,,5
75,76,Undirected,1481,,3
77,78,Undirected,1486,,3
8,90,Undirected,1500,,3
8,92,Undirected,1502,,3
79,10,Undirected,1518,,3
79,86,Undirected,1522,,4
79,45,Undirected,1523,,3
35,86,Undirected,1548,,4
35,90,Undirected,1552,,3
35,19,Undirected,1554,,3
35,92,Undirected,1555,,4
80,10,Undirected,1569,,4
80,83,Undirected,1570,,3
80,84,Undirected,1571,,4
80,85,Undirected,1572,,6
80,45,Undirected,1574,,5
80,89,Undirected,1577,,5
80,90,Undirected,1578,,3
80,91,Undirected,1579,,3
80,19,Undirected,1580,,5
80,96,Undirected,1585,,3
80,30,Undirected,1586,,10
80,97,Undirected,1587,,3
80,99,Undirected,1590,,5
80,101,Undirected,1592,,3
81,86,Undirected,1598,,3
81,45,Undirected,1599,,3
81,19,Undirected,1605,,3
82,10,Undirected,1618,,3
10,83,Undirected,1642,,3
10,84,Undirected,1643,,5
10,86,Undirected,1645,,5
10,89,Undirected,1648,,3
10,90,Undirected,1649,,3
10,91,Undirected,1650,,3
10,92,Undirected,1651,,5
10,94,Undirected,1653,,3
10,30,Undirected,1656,,8
10,98,Undirected,1658,,3
10,99,Undirected,1660,,3
10,101,Undirected,1662,,3
83,45,Undirected,1666,,3
83,19,Undirected,1672,,3
83,30,Undirected,1678,,3
84,85,Undirected,1685,,3
84,86,Undirected,1686,,3
84,45,Undirected,1687,,6
84,90,Undirected,1691,,4
84,91,Undirected,1692,,4
84,19,Undirected,1693,,5
84,92,Undirected,1694,,4
84,93,Undirected,1695,,3
84,30,Undirected,1699,,6
84,99,Undirected,1703,,5
85,89,Undirected,1710,,3
85,30,Undirected,1719,,6
85,31,Undirected,1722,,3
85,99,Undirected,1723,,3
86,45,Undirected,1726,,4
86,19,Undirected,1732,,4
86,30,Undirected,1738,,3
45,88,Undirected,1746,,4
45,89,Undirected,1747,,8
45,90,Undirected,1748,,4
45,91,Undirected,1749,,4
45,19,Undirected,1750,,13
45,93,Undirected,1752,,3
45,94,Undirected,1753,,7
45,95,Undirected,1754,,4
45,30,Undirected,1756,,11
45,97,Undirected,1757,,5
45,98,Undirected,1758,,7
45,99,Undirected,1760,,5
45,100,Undirected,1761,,3
45,101,Undirected,1762,,7
89,91,Undirected,1797,,3
89,19,Undirected,1798,,4
89,94,Undirected,1801,,3
89,96,Undirected,1803,,3
89,30,Undirected,1804,,6
89,99,Undirected,1808,,5
90,92,Undirected,1813,,5
90,96,Undirected,1817,,3
90,30,Undirected,1818,,5
90,98,Undirected,1820,,3
91,19,Undirected,1825,,3
91,92,Undirected,1826,,3
91,30,Undirected,1831,,4
91,98,Undirected,1833,,3
91,99,Undirected,1835,,3
19,94,Undirected,1840,,4
19,96,Undirected,1842,,3
19,30,Undirected,1843,,7
19,97,Undirected,1844,,3
19,98,Undirected,1845,,3
19,99,Undirected,1847,,5
92,98,Undirected,1856,,5
93,30,Undirected,1864,,3
